id,date,facility,category,sub_category,urgency,complaint_text,keywords,status,is_repeat,risk_flag,expected_role
SIM-001,2026-05-01,동탄권역 공공시설 A,주차,주차 혼잡,확인 필요,퇴근 시간대 주차장이 너무 혼잡해서 진입 차량이 오래 대기합니다,주차|혼잡|진입,검토중,true,false,시설관리 담당
SIM-002,2026-05-02,서부권역 체육시설 B,안전,시설 안전,주의,출입구 계단 바닥이 미끄럼 위험이 있어 아이들이 넘어질까 걱정됩니다,안전|미끄럼|아동|계단,접수,true,true,안전관리 담당
SIM-003,2026-05-03,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,휴게 공간 CCTV 촬영 범위가 넓어 사생활 침해가 우려됩니다,CCTV|촬영|사생활,검토중,true,true,개인정보보호 담당
SIM-004,2026-05-04,공공도서관 D,시설이용,시설 이용 불편,확인 필요,열람실 냉방이 잘 되지 않아 장시간 이용이 어렵습니다,시설|이용|냉난방,조치완료,false,false,시설관리 담당
SIM-005,2026-05-05,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,강좌 신청 정원이 너무 빨리 마감되어 대기 안내를 더 자세히 받고 싶습니다,프로그램|강좌|신청|대기,접수,true,false,프로그램 운영 담당
SIM-006,2026-05-06,서부권역 체육시설 B,대관,대관 예약,일반,대관 예약 변경 절차와 사용료 환불 기준이 헷갈립니다,대관|예약|변경|환불,검토중,false,false,대관 운영 담당
SIM-007,2026-05-07,이음터형 복합시설 C,환경,환경·청결,확인 필요,분리수거함 주변 쓰레기가 자주 쌓여 청결 관리가 필요합니다,쓰레기|분리수거|청결,접수,true,false,환경관리 담당
SIM-008,2026-05-08,공공도서관 D,행정안내,행정 안내,일반,운영시간 변경 공지를 홈페이지에서 찾기 어렵습니다,운영시간|공지|홈페이지,조치완료,true,false,민원안내 담당
SIM-009,2026-05-09,동탄권역 공공시설 A,주차,불법주차,주의,장애인 주차구역 주변 불법주차 차량 때문에 이동이 불편합니다,불법주차|차량|주차,접수,true,true,시설관리 담당
SIM-010,2026-05-10,서부권역 체육시설 B,안전,시설 안전,즉시 확인 필요,어린이 이용 공간 근처 난간 일부가 파손되어 즉시 확인이 필요합니다,어린이|파손|위험|안전,검토중,true,true,안전관리 담당
SIM-011,2026-05-11,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,CCTV 안내문이 잘 보이지 않아 촬영 여부를 알기 어렵습니다,CCTV|안내문|촬영,조치완료,true,true,개인정보보호 담당
SIM-012,2026-05-12,공공도서관 D,시설이용,시설 이용 불편,확인 필요,화장실 손잡이가 고장 난 상태로 며칠째 유지되고 있습니다,화장실|고장|시설,접수,false,false,시설관리 담당
SIM-013,2026-05-13,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,프로그램 취소 시 대기자에게 알림이 가는지 궁금합니다,프로그램|취소|대기,검토중,false,false,프로그램 운영 담당
SIM-014,2026-05-14,서부권역 체육시설 B,대관,대관 예약,일반,주말 대관 가능 일정이 화면마다 다르게 보여 확인이 필요합니다,대관|일정|예약,접수,true,false,대관 운영 담당
SIM-015,2026-05-15,이음터형 복합시설 C,환경,소음,확인 필요,저녁 시간 프로그램 종료 후 복도 소음이 반복됩니다,소음|프로그램|반복,검토중,true,false,환경관리 담당
SIM-016,2026-05-16,공공도서관 D,행정안내,행정 안내,일반,자료실 이용 절차 안내가 처음 방문한 사람에게 어렵게 느껴집니다,안내|절차|이용,조치완료,false,false,민원안내 담당
SIM-017,2026-05-17,동탄권역 공공시설 A,주차,주차 혼잡,확인 필요,주말 오전 주차장 만차 안내가 늦어 차량이 입구에 몰립니다,주차장|만차|차량|안내,접수,true,false,시설관리 담당
SIM-018,2026-05-18,서부권역 체육시설 B,안전,시설 안전,주의,체육관 바닥 일부가 들떠 있어 넘어짐 사고가 걱정됩니다,바닥|넘어짐|사고|안전,검토중,true,true,안전관리 담당
SIM-019,2026-05-19,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,즉시 확인 필요,탈의 공간 근처 카메라 방향이 개인정보 침해처럼 느껴집니다,카메라|개인정보|촬영,접수,false,true,개인정보보호 담당
SIM-020,2026-05-20,공공도서관 D,시설이용,시설 이용 불편,확인 필요,엘리베이터 점검 안내가 부족해서 이동에 불편이 있었습니다,엘리베이터|안내|시설,조치완료,false,false,시설관리 담당
SIM-021,2026-05-21,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,강사 변경 공지가 늦게 올라와 수업 준비가 어려웠습니다,강사|공지|수업,접수,false,false,프로그램 운영 담당
SIM-022,2026-05-22,서부권역 체육시설 B,대관,대관 예약,확인 필요,대관 승인 여부가 늦게 안내되어 행사 준비에 차질이 있었습니다,대관|승인|안내,검토중,true,false,대관 운영 담당
SIM-023,2026-05-23,이음터형 복합시설 C,환경,환경·청결,확인 필요,지하 출입구에서 악취가 반복적으로 납니다,악취|환경|반복,접수,true,true,환경관리 담당
SIM-024,2026-05-24,공공도서관 D,행정안내,행정 안내,일반,전화 문의 연결이 어려워 온라인 안내가 더 자세했으면 합니다,전화|문의|안내,조치완료,true,false,민원안내 담당
SIM-025,2026-05-25,동탄권역 공공시설 A,주차,주차 혼잡,확인 필요,행사 시작 전 출차 차량과 진입 차량이 섞여 혼잡합니다,출차|진입|혼잡|차량,검토중,true,false,시설관리 담당
SIM-026,2026-05-26,서부권역 체육시설 B,안전,시설 안전,주의,야간 조명이 어두워 보행 안전이 걱정됩니다,안전|위험|시설,접수,false,true,안전관리 담당
SIM-027,2026-05-27,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,CCTV 열람 절차가 안내되어 있지 않아 문의가 반복됩니다,CCTV|열람|절차|문의,검토중,true,false,개인정보보호 담당
SIM-028,2026-05-28,공공도서관 D,시설이용,시설 이용 불편,일반,자료 검색 장비 이용 방법 안내가 부족합니다,장비|이용|안내,조치완료,false,false,시설관리 담당
SIM-029,2026-05-29,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,신규 프로그램 신청 시작 시간이 공지마다 다르게 보여 혼란스럽습니다,프로그램|신청|공지,접수,true,false,프로그램 운영 담당
SIM-030,2026-05-30,서부권역 체육시설 B,대관,대관 예약,일반,예약 확정 후 장소 사용 가능 범위를 더 명확히 알고 싶습니다,예약|장소|대관,검토중,false,false,대관 운영 담당
SIM-031,2026-05-31,이음터형 복합시설 C,환경,소음,확인 필요,공용 공간에서 반복되는 소음으로 독서 공간 이용이 어렵습니다,소음|반복|이용,접수,true,false,환경관리 담당
SIM-032,2026-06-01,공공도서관 D,행정안내,행정 안내,일반,회원 가입 서류 안내가 현장과 홈페이지에서 다르게 보입니다,서류|안내|홈페이지,검토중,true,false,민원안내 담당
SIM-033,2026-06-02,동탄권역 공공시설 A,주차,불법주차,주의,보행로 주변 불법주차로 아이들이 차도 쪽으로 걸어야 합니다,불법주차|아동|차량|안전,접수,true,true,시설관리 담당
SIM-034,2026-06-03,서부권역 체육시설 B,안전,시설 안전,즉시 확인 필요,샤워실 바닥이 젖어 있어 미끄럼 사고 위험이 큽니다,미끄럼|사고|위험,검토중,true,true,안전관리 담당
SIM-035,2026-06-04,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,공용 컴퓨터 화면에 이전 이용자 정보가 남아 있었습니다,개인정보|이용|화면,접수,false,true,개인정보보호 담당
SIM-036,2026-06-05,공공도서관 D,시설이용,시설 이용 불편,확인 필요,열람실 문이 잘 닫히지 않아 소음이 계속 들어옵니다,문|소음|시설,검토중,false,false,시설관리 담당
SIM-037,2026-06-06,동탄권역 공공시설 A,프로그램,프로그램 운영,일반,대기 순번 확인 방법이 없어 신청자가 계속 문의하게 됩니다,대기|신청|문의,접수,true,false,프로그램 운영 담당
SIM-038,2026-06-07,서부권역 체육시설 B,대관,대관 예약,확인 필요,사용료 납부 안내 문자가 늦게 와서 예약 유지 여부가 불안했습니다,사용료|예약|안내,검토중,true,false,대관 운영 담당
SIM-039,2026-06-08,이음터형 복합시설 C,환경,환경·청결,일반,분리수거 표시가 작아 일반 쓰레기와 자주 섞입니다,분리수거|쓰레기|안내,조치완료,true,false,환경관리 담당
SIM-040,2026-06-09,공공도서관 D,행정안내,행정 안내,일반,휴관일 공지가 여러 곳에 흩어져 있어 확인이 어렵습니다,공지|안내|홈페이지,접수,true,false,민원안내 담당
SIM-041,2026-06-10,동탄권역 공공시설 A,주차,주차 혼잡,확인 필요,비 오는 날 주차장 입구 대기 줄이 길어 안전요원이 필요해 보입니다,주차장|대기|안전,검토중,true,false,시설관리 담당
SIM-042,2026-06-11,서부권역 체육시설 B,안전,시설 안전,주의,체육시설 출입문 주변 턱이 높아 넘어짐 위험이 있습니다,시설|넘어짐|위험,접수,false,true,안전관리 담당
SIM-043,2026-06-12,이음터형 복합시설 C,CCTV/개인정보,개인정보 확인,주의,녹화 중이라는 안내가 출입구 한쪽에만 있어 잘 보이지 않습니다,녹화|안내|CCTV,조치완료,true,false,개인정보보호 담당
SIM-044,2026-06-13,공공도서관 D,시설이용,시설 이용 불편,일반,사물함 이용 방법을 처음 이용자가 이해하기 어렵습니다,이용|안내|시설,접수,false,false,시설관리 담당
SIM-045,2026-06-14,동탄권역 공공시설 A,프로그램,프로그램 운영,확인 필요,프로그램 접수 페이지가 열리지 않아 신청을 못 했다는 문의가 많습니다,프로그램|접수|신청|문의,검토중,true,false,프로그램 운영 담당
SIM-046,2026-06-15,서부권역 체육시설 B,대관,대관 예약,일반,대관 취소 신청 후 처리 상태를 확인할 방법이 필요합니다,대관|취소|신청,접수,true,false,대관 운영 담당
SIM-047,2026-06-16,이음터형 복합시설 C,환경,환경·청결,확인 필요,주차장 쪽 흡연 냄새가 실내로 들어오는 것 같습니다,냄새|환경|주차장,검토중,false,false,환경관리 담당
SIM-048,2026-06-17,공공도서관 D,행정안내,행정 안내,일반,행사 참여 절차가 공지에는 있지만 신청 화면에서 다시 확인하기 어렵습니다,절차|공지|신청,조치완료,false,false,민원안내 담당
SIM-049,2026-06-18,동탄권역 공공시설 A,주차,주차 혼잡,주의,야간 행사 후 출차 혼잡으로 보행자와 차량이 가까이 지나갑니다,출차|혼잡|차량|안전,접수,true,true,시설관리 담당
SIM-050,2026-06-19,서부권역 체육시설 B,안전,시설 안전,주의,운동기구 일부가 흔들려 이용 중 부상 위험이 있어 보입니다,부상|위험|시설|안전,검토중,false,true,안전관리 담당
